Key,en,fr
title,Pokémon Type Calculator,Calculateur de types Pokémon
navigation.offense,Offense,Offense
navigation.defense,Defense,Défense
navigation.pokedex,Pokédex,Pokédex
navigation.more,More,Autres
offense.chooseTypes,Choose types,Choisissez les types
offense.dealsXTo,Deals {{ x }} to,Inflige {{ x }} à
offense.coverage.heading,Pokédex coverage,Couverture du Pokédex
offense.coverage.edit,Edit list,Modifier la liste
offense.coverage.weakness,Weak,Faible
offense.coverage.normal,Normal,
offense.coverage.resistance,Resist,Résiste
offense.coverageList.empty,No Pokémon found or no types selected,Aucun Pokémon trouvé ou aucun type séléctionné
offense.coverageList.weakness.heading,Weakness Coverage List,Liste des Pokémon qui te sont faible
offense.coverageList.weakness.description,These Pokémon are weak to at least one of the selected types.,Ces Pokémon sont faibles à au moins l'un des deux types séléctionnés.
offense.coverageList.normal.heading,Normal Effectiveness Coverage List,
offense.coverageList.normal.description,These Pokémon are not in the weakness or resistance lists for the selected types.,
offense.coverageList.resistance.heading,Resistance Coverage List,Liste des Pokémon qui te résiste
offense.coverageList.resistance.description,These Pokémon are resistant to all of the selected types.,Ces Pokémon résistent aux deux types séléctionnés.
coverage.heading,Pokédex Coverage,Couverture de faiblesses
coverage.paragraph1,"Import/export custom Pokédex CSV files to see coverage for different Pokémon. Create a custom CSV file with just the OU tier Pokémon, or even create your own Pokémon from scratch.","Importez/exportez des fichiers CSV Pokédex personnalisés pour voir la couverture des faiblesses pour différents Pokémons. Créeez un fichier CSV personnalisé avec juste le tier Pokémon OU, ou créez votre pokémon depuis zéro."
coverage.paragraph2,"CSV data is loaded by column header name, not column order, so you can add or re-order columns if you want (e.g. add a “tier” column, or a “notes” column).","Les données CSV sont chargées par nom d'en-tête de colonne, et non par odre de colonne. Vous pouvez donc ajouter ou réorganiser des colonnes si vous le souhaitez (par exemple, ajouter une colonne ""tier"" ou une colonne ""notes"")."
coverage.paragraph3,"CSV files can be edited with Google Sheets, Microsoft Excel, OpenOffice, LibreOffice, Notepad, and more.","Les dossiers CSV peuvent être modifiés avec Google doc, Microsoft Excel, OpenOffice, LibreOffice, Notepad et d'autres."
coverage.csvHeaders.number,Number,Numéro
coverage.csvHeaders.name,Name,Nom
coverage.csvHeaders.type1,Type 1,Type 1
coverage.csvHeaders.type2,Type 2,Type 2
coverage.csvHeaders.type3,Type 3,Type 3
coverage.export.button,Export,Exporter
coverage.export.description,Export the default Pokédex to a CSV file,Exporter le Pokédex par défaut vers un dossier CSV.
coverage.import.button,Import,Importer
coverage.import.description,Import an edited Pokédex CSV file,Importer un dossier Pokédex CSV édité
coverage.reset.button,Reset,Réinisialiser
coverage.reset.description,Reset to the default Pokédex,Réinisialiser vers le Pokédex par défaut
coverage.filename,pkmn.help type coverage.csv,pkmn.help couverture de type.csv
coverage.status.imported,Imported {{ n }} Pokémon forms from “{{ file }}”,Importer {{ n }} forme Pokémon depuis “{{ file }}”
coverage.status.exported,Exported default Pokémon forms,Pokémon exporté par défaut
coverage.status.reset,Loaded default Pokémon forms,Pokémon chargé par défaut
